100	0.000041
200	0.000062
300	0.000098
400	0.000127
500	0.000160
600	0.000194
700	0.000247
800	0.000288
900	0.000323
1000	0.000404
1100	0.000415
1200	0.000428
1300	0.000449
1400	0.000587
1500	0.000605
1600	0.000616
1700	0.000576
1800	0.000612
1900	0.000650
2000	0.000686
2100	0.000723
2200	0.000756
2300	0.000793
2400	0.000856
2500	0.000874
2600	0.000910
2700	0.000990
2800	0.000990
2900	0.001010
3000	0.001057
3100	0.001220
3200	0.001325
3300	0.001253
3400	0.001195
3500	0.001252
3600	0.001280
3700	0.001297
3800	0.001333
3900	0.001375
4000	0.001429
4100	0.001455
4200	0.002196
4300	0.001865
4400	0.001649
4500	0.001673
4600	0.001634
4700	0.001445
4800	0.001476
4900	0.001512
5000	0.001448
5100	0.001629
5200	0.002070
5300	0.001541
5400	0.001557
5500	0.001596
5600	0.001703
5700	0.001491
5800	0.001469
5900	0.001484
6000	0.001511
6100	0.001543
6200	0.001583
6300	0.001610
6400	0.001619
6500	0.001622
6600	0.001677
6700	0.001686
6800	0.001730
6900	0.001738
7000	0.001772
7100	0.001809
7200	0.001822
7300	0.001886
7400	0.001887
7500	0.001910
7600	0.001934
7700	0.002576
7800	0.002393
7900	0.002459
8000	0.002462
8100	0.002630
8200	0.003307
8300	0.003695
8400	0.003899
8500	0.004226
8600	0.004449
8700	0.004135
8800	0.004132
8900	0.003284
9000	0.002993
9100	0.002404
9200	0.002416
9300	0.002467
9400	0.002504
9500	0.002477
9600	0.002572
9700	0.002511
9800	0.002553
9900	0.002585
